New Moon,First Quarter,Full Moon,Third Quarter
1810-10-28T00:00:00,1810-11-04T00:00:00,1810-11-11T00:00:00,1810-11-19T00:00:00
1810-11-26T00:00:00,1810-12-03T00:00:00,1810-12-10T00:00:00,1810-12-18T00:00:00
1810-12-26T00:00:00,None,None,None
None,1811-01-01T00:00:00,1811-01-09T00:00:00,1811-01-17T00:00:00
1811-01-24T00:00:00,1811-01-31T00:00:00,1811-02-08T00:00:00,1811-02-16T00:00:00
1811-02-23T00:00:00,1811-03-01T00:00:00,1811-03-10T00:00:00,1811-03-17T00:00:00
1811-03-24T00:00:00,1811-03-31T00:00:00,1811-04-08T00:00:00,1811-04-16T00:00:00
1811-04-22T00:00:00,1811-04-30T00:00:00,1811-05-08T00:00:00,1811-05-15T00:00:00
1811-05-22T00:00:00,1811-05-30T00:00:00,1811-06-06T00:00:00,1811-06-13T00:00:00
1811-06-20T00:00:00,1811-06-28T00:00:00,1811-07-06T00:00:00,1811-07-12T00:00:00
1811-07-20T00:00:00,1811-07-28T00:00:00,1811-08-04T00:00:00,1811-08-11T00:00:00
1811-08-18T00:00:00,1811-08-27T00:00:00,1811-09-02T00:00:00,1811-09-09T00:00:00
1811-09-17T00:00:00,1811-09-25T00:00:00,1811-10-02T00:00:00,1811-10-09T00:00:00
1811-10-17T00:00:00,1811-10-24T00:00:00,1811-10-31T00:00:00,1811-11-07T00:00:00
1811-11-16T00:00:00,1811-11-23T00:00:00,1811-11-30T00:00:00,1811-12-07T00:00:00
1811-12-15T00:00:00,1811-12-22T00:00:00,1811-12-29T00:00:00,None
None,None,None,1812-01-06T00:00:00
1812-01-14T00:00:00,1812-01-20T00:00:00,1812-01-28T00:00:00,1812-02-05T00:00:00
1812-02-12T00:00:00,1812-02-19T00:00:00,1812-02-27T00:00:00,1812-03-06T00:00:00
1812-03-13T00:00:00,1812-03-19T00:00:00,1812-03-27T00:00:00,1812-04-04T00:00:00
1812-04-11T00:00:00,1812-04-18T00:00:00,1812-04-26T00:00:00,1812-05-04T00:00:00
1812-05-10T00:00:00,1812-05-18T00:00:00,1812-05-26T00:00:00,1812-06-02T00:00:00
1812-06-09T00:00:00,1812-06-16T00:00:00,1812-06-24T00:00:00,1812-07-01T00:00:00
1812-07-08T00:00:00,1812-07-16T00:00:00,1812-07-24T00:00:00,1812-07-30T00:00:00
1812-08-07T00:00:00,1812-08-15T00:00:00,1812-08-22T00:00:00,1812-08-29T00:00:00
1812-09-05T00:00:00,1812-09-13T00:00:00,1812-09-20T00:00:00,1812-09-27T00:00:00
1812-10-05T00:00:00,1812-10-13T00:00:00,1812-10-20T00:00:00,1812-10-26T00:00:00
1812-11-04T00:00:00,1812-11-11T00:00:00,1812-11-18T00:00:00,1812-11-25T00:00:00
1812-12-03T00:00:00,1812-12-11T00:00:00,1812-12-18T00:00:00,1812-12-25T00:00:00
1813-01-02T00:00:00,1813-01-09T00:00:00,1813-01-16T00:00:00,1813-01-24T00:00:00
1813-02-01T00:00:00,1813-02-08T00:00:00,1813-02-15T00:00:00,1813-02-23T00:00:00
1813-03-02T00:00:00,1813-03-09T00:00:00,1813-03-16T00:00:00,1813-03-25T00:00:00
1813-04-01T00:00:00,1813-04-07T00:00:00,1813-04-15T00:00:00,1813-04-23T00:00:00
1813-04-30T00:00:00,1813-05-07T00:00:00,1813-05-15T00:00:00,1813-05-23T00:00:00
1813-05-29T00:00:00,1813-06-05T00:00:00,1813-06-13T00:00:00,1813-06-21T00:00:00
1813-06-28T00:00:00,1813-07-05T00:00:00,1813-07-13T00:00:00,1813-07-20T00:00:00
1813-07-27T00:00:00,1813-08-04T00:00:00,1813-08-11T00:00:00,1813-08-18T00:00:00
1813-08-25T00:00:00,1813-09-02T00:00:00,1813-09-10T00:00:00,1813-09-17T00:00:00
1813-09-24T00:00:00,1813-10-02T00:00:00,1813-10-09T00:00:00,1813-10-16T00:00:00
1813-10-24T00:00:00,1813-11-01T00:00:00,1813-11-08T00:00:00,1813-11-14T00:00:00
